GUID;Departament;Dispositiu;Edifici;Planta;Zona;Àrea Total (m²);Elements
"21TExkbPj2hPRtuN9OZnLf";"";"Porta";"UDI";"PSS";"043";"0";"1"
"0kigphT89F1PJplFBgKd_e";"";"Porta";"UDI";"PSS";"044";"0";"1"
"21TExkbPj2hPRtuN9OZnLm";"";"Porta";"UDI";"PSS";"044";"0";"1"
"1$WyWKAp16AOudCeEVpxBz";"";"Porta";"UDI";"PSS";"044";"0";"1"
"0kigphT89F1PJplFBgKdxL";"";"Porta";"UDI";"PSS";"044";"0";"1"
"0kigphT89F1PJplFBgKdyO";"";"Porta";"UDI";"PSS";"044";"0";"1"
"0kigphT89F1PJplFBgKdzl";"";"Porta";"UDI";"PSS";"044";"0";"1"
"244Kn$Iaj7pPk5H2YHRFM9";"";"Porta";"UDI";"PSS";"044";"0";"1"
"0kigphT89F1PJplFBgKddg";"";"Porta";"UDI";"PSS";"046";"0";"1"
"0kigphT89F1PJplFBgKdYC";"";"Porta";"UDI";"PSS";"048";"0";"1"
"0kigphT89F1PJplFBgKdXs";"";"Porta";"UDI";"PSS";"049";"0";"1"
"0kigphT89F1PJplFBgKdbR";"";"Porta";"UDI";"PSS";"050";"0";"1"
"0kigphT89F1PJplFBgKdW$";"";"Porta";"UDI";"PSS";"051";"0";"1"
"0kigphT89F1PJplFBgKdv_";"";"Porta";"UDI";"PSS";"055";"0";"1"
"0kigphT89F1PJplFBgKdtn";"";"Porta";"UDI";"PSS";"056";"0";"1"
"06Nyb9rFr2axxyvm54iaZw";"";"Porta";"UDI";"PSS";"057";"0";"1"
"06Nyb9rFr2axxyvm54iaWF";"";"Porta";"UDI";"PSS";"057";"0";"1"
"2L_5jbk_T8bR5hh$lP56$2";"";"Porta";"UDI";"PSS";"001";"0";"1"
